Company,Price,Change,% Change,P/E,Volume,YTDchange,Symbol,url
3M,205.98,-0.25,-0.12%,23.5,1.5M,+15.35%,MMM,http://money.cnn.com/quote/quote.html?symb=MMM
A. O. Smith Corp,53.68,0.14,+0.26%,27.7,900.2K,+13.37%,AOS,http://money.cnn.com/quote/quote.html?symb=AOS
Abbott Laboratories,48.54,0.48,+1.00%,75.8,4.0M,+26.37%,ABT,http://money.cnn.com/quote/quote.html?symb=ABT
AbbVie,70.63,0.19,+0.27%,17.4,3.2M,+12.79%,ABBV,http://money.cnn.com/quote/quote.html?symb=ABBV
Accenture,128.2,-0.04,-0.03%,22.7,1.1M,+9.45%,ACN,http://money.cnn.com/quote/quote.html?symb=ACN
Activision Blizzard Inc,60.74,0.53,+0.88%,41.0,5.6M,+68.21%,ATVI,http://money.cnn.com/quote/quote.html?symb=ATVI
Acuity Brands Inc,185.69,0.61,+0.33%,25.9,376.1K,-19.57%,AYI,http://money.cnn.com/quote/quote.html?symb=AYI
Adobe,146.47,1.55,+1.07%,51.0,1.4M,+42.27%,ADBE,http://money.cnn.com/quote/quote.html?symb=ADBE
Advance Auto Parts Inc,107.34,1.21,+1.14%,19.4,1.9M,-36.53%,AAP,http://money.cnn.com/quote/quote.html?symb=AAP
Advanced Micro Devices Inc,12.23,0.11,+0.91%,NM,63.6M,+7.85%,AMD,http://money.cnn.com/quote/quote.html?symb=AMD
AES Corp,11.1,-0.28,-2.46%,NM,4.8M,-4.48%,AES,http://money.cnn.com/quote/quote.html?symb=AES
Aetna,152.15,-0.27,-0.18%,33.7,1.8M,+22.69%,AET,http://money.cnn.com/quote/quote.html?symb=AET
Affiliated Managers Group Inc,175.42,-0.19,-0.11%,19.4,414.2K,+20.73%,AMG,http://money.cnn.com/quote/quote.html?symb=AMG
Aflac Inc,80.75,-0.07,-0.09%,12.2,1.4M,+16.02%,AFL,http://money.cnn.com/quote/quote.html?symb=AFL
Agilent Technologies Inc,59.33,0.76,+1.30%,33.3,1.5M,+30.22%,A,http://money.cnn.com/quote/quote.html?symb=A
CVS Caremark,79.41,0.27,+0.34%,16.6,3.0M,+0.63%,CVS,http://money.cnn.com/quote/quote.html?symb=CVS
D.R. Horton Inc,36.09,0.2,+0.56%,13.5,1.9M,+32.05%,DHI,http://money.cnn.com/quote/quote.html?symb=DHI
Danaher Corp,79.82,0.53,+0.67%,25.6,2.4M,+2.54%,DHR,http://money.cnn.com/quote/quote.html?symb=DHR
Darden Restaurants Inc,83.34,0.81,+0.98%,21.8,1.1M,+14.60%,DRI,http://money.cnn.com/quote/quote.html?symb=DRI
Davita Inc,56.55,0.42,+0.75%,8.7,1.3M,-11.92%,DVA,http://money.cnn.com/quote/quote.html?symb=DVA
Deere & Co,126.7,-1.08,-0.85%,22.8,2.3M,+22.96%,DE,http://money.cnn.com/quote/quote.html?symb=DE
Delphi Automotive PLC,92.34,1.19,+1.31%,19.5,1.5M,+37.10%,DLPH,http://money.cnn.com/quote/quote.html?symb=DLPH
Delta Air Lines,49.48,0.44,+0.90%,9.8,6.3M,+0.59%,DAL,http://money.cnn.com/quote/quote.html?symb=DAL
Dentsply Sirona Inc,55.33,-0.17,-0.31%,36.9,3.6M,-4.16%,XRAY,http://money.cnn.com/quote/quote.html?symb=XRAY
Devon Energy Corp,31.61,-0.15,-0.47%,6.8,3.6M,-30.79%,DVN,http://money.cnn.com/quote/quote.html?symb=DVN
Digital Realty Trust Inc,111.82,-1.03,-0.91%,47.8,1.3M,+13.80%,DLR,http://money.cnn.com/quote/quote.html?symb=DLR
Discover Financial Services,59.64,-0.46,-0.77%,10.3,2.2M,-17.27%,DFS,http://money.cnn.com/quote/quote.html?symb=DFS
Discovery Communications Inc,22.91,-0.09,-0.39%,12.1,3.3M,-16.42%,DISCA,http://money.cnn.com/quote/quote.html?symb=DISCA
Discovery Communications Inc,21.87,-0.06,-0.27%,11.6,2.1M,-18.33%,DISCK,http://money.cnn.com/quote/quote.html?symb=DISCK
DISH Network,58.46,0.27,+0.46%,27.3,1.2M,+0.91%,DISH,http://money.cnn.com/quote/quote.html?symb=DISH
Disney,101.99,0.64,+0.63%,17.8,9.4M,-2.14%,DIS,http://money.cnn.com/quote/quote.html?symb=DIS
Dollar General,75.49,-0.09,-0.12%,17.1,1.7M,+1.92%,DG,http://money.cnn.com/quote/quote.html?symb=DG
Dollar Tree Inc,73.5,0.42,+0.57%,20.1,1.8M,-4.77%,DLTR,http://money.cnn.com/quote/quote.html?symb=DLTR
Dominion Energy Inc,77.39,-0.43,-0.55%,22.4,1.5M,+1.04%,D,http://money.cnn.com/quote/quote.html?symb=D
Dover Corp,85.05,-0.46,-0.54%,21.3,863.5K,+13.51%,DOV,http://money.cnn.com/quote/quote.html?symb=DOV
Dow Chemical,63.26,0.15,+0.24%,26.0,5.0M,+10.56%,DOW,http://money.cnn.com/quote/quote.html?symb=DOW
Dr Pepper Snapple Group Inc,90.38,0.0,0.00%,21.7,615.4K,-0.32%,DPS,http://money.cnn.com/quote/quote.html?symb=DPS
DTE Energy Co,107.87,-1.19,-1.09%,18.5,590.5K,+9.50%,DTE,http://money.cnn.com/quote/quote.html?symb=DTE
Duke Energy,85.7,-0.69,-0.80%,21.5,2.5M,+10.41%,DUK,http://money.cnn.com/quote/quote.html?symb=DUK
Duke Realty Corp,28.26,0.0,0.00%,29.4,2.1M,+6.40%,DRE,http://money.cnn.com/quote/quote.html?symb=DRE
DXC Technology Co,82.05,0.78,+0.96%,NM,1.6M,+38.08%,DXC,http://money.cnn.com/quote/quote.html?symb=DXC
E I du Pont de Nemours and Co,80.97,0.16,+0.20%,28.9,1.9M,+10.31%,DD,http://money.cnn.com/quote/quote.html?symb=DD
E*TRADE Financial Corp,40.07,-0.08,-0.20%,18.7,1.2M,+15.64%,ETFC,http://money.cnn.com/quote/quote.html?symb=ETFC
Eastman Chemical Co,83.21,-0.04,-0.05%,13.3,1.1M,+10.64%,EMN,http://money.cnn.com/quote/quote.html?symb=EMN
Eaton Corporation PLC,71.48,-0.17,-0.24%,16.4,1.3M,+6.54%,ETN,http://money.cnn.com/quote/quote.html?symb=ETN
eBay,35.05,0.06,+0.17%,5.4,7.7M,+18.05%,EBAY,http://money.cnn.com/quote/quote.html?symb=EBAY
Ecolab Inc,129.81,-0.42,-0.32%,30.7,618.7K,+10.74%,ECL,http://money.cnn.com/quote/quote.html?symb=ECL
Edison International,79.53,-0.14,-0.18%,19.0,1.2M,+10.47%,EIX,http://money.cnn.com/quote/quote.html?symb=EIX
Edwards Lifesciences Corp,114.5,0.37,+0.32%,34.7,673.8K,+22.20%,EW,http://money.cnn.com/quote/quote.html?symb=EW
Electronic Arts Inc,115.45,1.46,+1.28%,37.5,1.6M,+46.58%,EA,http://money.cnn.com/quote/quote.html?symb=EA
Eli Lilly and Co,81.15,-0.9,-1.10%,35.1,2.4M,+10.33%,LLY,http://money.cnn.com/quote/quote.html?symb=LLY
Emerson Electric Co,58.89,-0.25,-0.42%,23.5,2.8M,+5.63%,EMR,http://money.cnn.com/quote/quote.html?symb=EMR
Entergy Corp,76.2,-0.64,-0.83%,NM,807.4K,+3.72%,ETR,http://money.cnn.com/quote/quote.html?symb=ETR
Envision Healthcare Corp,52.89,0.12,+0.23%,NM,1.4M,-16.43%,EVHC,http://money.cnn.com/quote/quote.html?symb=EVHC
EOG Resources Inc,88.53,-0.59,-0.66%,NM,2.9M,-12.43%,EOG,http://money.cnn.com/quote/quote.html?symb=EOG
EQT Corp,62.93,0.86,+1.39%,2097.7,1.3M,-3.78%,EQT,http://money.cnn.com/quote/quote.html?symb=EQT
Equifax Inc,141.35,-0.71,-0.50%,29.9,351.6K,+19.56%,EFX,http://money.cnn.com/quote/quote.html?symb=EFX
Equinix Inc,438.39,-1.09,-0.25%,159.4,327.5K,+22.66%,EQIX,http://money.cnn.com/quote/quote.html?symb=EQIX
Equity Residential,66.98,-0.1,-0.15%,29.9,1.3M,+4.07%,EQR,http://money.cnn.com/quote/quote.html?symb=EQR
Essex Property Trust Inc,259.14,-3.39,-1.29%,33.3,216.1K,+11.46%,ESS,http://money.cnn.com/quote/quote.html?symb=ESS
Estee Lauder,99.65,-2.04,-2.01%,33.3,3.6M,+30.28%,EL,http://money.cnn.com/quote/quote.html?symb=EL
Everest Re Group Ltd,265.07,-4.23,-1.57%,9.9,218.6K,+22.49%,RE,http://money.cnn.com/quote/quote.html?symb=RE
Eversource Energy,61.86,-0.36,-0.58%,20.0,1.4M,+12.00%,ES,http://money.cnn.com/quote/quote.html?symb=ES
Exelon,37.5,-0.24,-0.64%,19.8,3.7M,+5.66%,EXC,http://money.cnn.com/quote/quote.html?symb=EXC
Expedia Inc,144.51,0.96,+0.67%,67.5,1.3M,+27.57%,EXPE,http://money.cnn.com/quote/quote.html?symb=EXPE
Expeditors International of Washington Inc,54.44,-0.3,-0.55%,23.3,1.6M,+2.79%,EXPD,http://money.cnn.com/quote/quote.html?symb=EXPD
Express Scripts Holding Co,60.3,0.52,+0.86%,10.6,2.9M,-12.34%,ESRX,http://money.cnn.com/quote/quote.html?symb=ESRX
Extra Space Storage Inc,76.31,0.08,+0.10%,26.1,993.4K,-1.20%,EXR,http://money.cnn.com/quote/quote.html?symb=EXR
Exxon Mobil,78.21,-0.76,-0.96%,28.2,10.2M,-13.35%,XOM,http://money.cnn.com/quote/quote.html?symb=XOM
F5 Networks Inc,117.82,1.41,+1.21%,19.6,777.9K,-18.59%,FFIV,http://money.cnn.com/quote/quote.html?symb=FFIV
Facebook,168.08,0.68,+0.41%,37.6,13.8M,+46.09%,FB,http://money.cnn.com/quote/quote.html?symb=FB
Fastenal Co,42.61,0.25,+0.59%,23.4,1.6M,-9.30%,FAST,http://money.cnn.com/quote/quote.html?symb=FAST
Federal Realty Investment Trust,129.4,-2.64,-2.00%,41.3,365.6K,-8.94%,FRT,http://money.cnn.com/quote/quote.html?symb=FRT
FedEx,204.87,1.32,+0.65%,18.5,1.1M,+10.03%,FDX,http://money.cnn.com/quote/quote.html?symb=FDX
Fidelity National Information Services Inc,89.22,-0.04,-0.04%,44.6,780.6K,+17.95%,FIS,http://money.cnn.com/quote/quote.html?symb=FIS
Fifth Third Bancorp,26.11,-0.27,-1.02%,13.7,4.3M,-3.19%,FITB,http://money.cnn.com/quote/quote.html?symb=FITB
FirstEnergy Corp,32.17,0.13,+0.41%,NM,3.9M,+3.87%,FE,http://money.cnn.com/quote/quote.html?symb=FE
Fiserv Inc,122.84,0.35,+0.29%,30.0,449.4K,+15.58%,FISV,http://money.cnn.com/quote/quote.html?symb=FISV
FLIR Systems Inc,37.41,0.13,+0.35%,24.1,639.4K,+3.37%,FLIR,http://money.cnn.com/quote/quote.html?symb=FLIR
Flowserve Corp,38.83,0.19,+0.49%,41.8,1.0M,-19.19%,FLS,http://money.cnn.com/quote/quote.html?symb=FLS
Fluor Corp,39.07,0.26,+0.67%,48.8,1.7M,-25.61%,FLR,http://money.cnn.com/quote/quote.html?symb=FLR
FMC Corp,82.73,-0.32,-0.39%,41.8,774.9K,+46.27%,FMC,http://money.cnn.com/quote/quote.html?symb=FMC
Foot Locker Inc,49.3,0.21,+0.43%,10.1,2.5M,-30.46%,FL,http://money.cnn.com/quote/quote.html?symb=FL
Ford,10.77,0.0,0.00%,11.3,32.3M,-11.21%,F,http://money.cnn.com/quote/quote.html?symb=F
Fortive Corp,65.6,0.07,+0.11%,25.8,705.3K,+22.32%,FTV,http://money.cnn.com/quote/quote.html?symb=FTV
Fortune Brands Home & Security Inc,63.31,0.42,+0.67%,22.5,1.0M,+18.42%,FBHS,http://money.cnn.com/quote/quote.html?symb=FBHS
Franklin Resources,42.75,0.12,+0.28%,13.9,1.4M,+8.01%,BEN,http://money.cnn.com/quote/quote.html?symb=BEN
Freeport-McMoRan Inc,13.96,-0.19,-1.34%,15.7,19.8M,+5.84%,FCX,http://money.cnn.com/quote/quote.html?symb=FCX
Gap,23.15,0.1,+0.43%,13.4,3.7M,+3.16%,GPS,http://money.cnn.com/quote/quote.html?symb=GPS
Garmin Ltd,51.21,-0.08,-0.16%,16.7,918.4K,+5.61%,GRMN,http://money.cnn.com/quote/quote.html?symb=GRMN
Gartner Inc,116.92,-0.19,-0.16%,53.1,952.4K,+15.68%,IT,http://money.cnn.com/quote/quote.html?symb=IT
General Dynamics,197.89,-0.39,-0.20%,19.0,1.1M,+14.61%,GD,http://money.cnn.com/quote/quote.html?symb=GD
General Electric,25.2,-0.1,-0.40%,29.0,19.2M,-20.25%,GE,http://money.cnn.com/quote/quote.html?symb=GE
General Mills,56.59,0.3,+0.53%,20.4,3.7M,-8.39%,GIS,http://money.cnn.com/quote/quote.html?symb=GIS
Genuine Parts Co,82.81,0.52,+0.63%,17.9,470.4K,-13.32%,GPC,http://money.cnn.com/quote/quote.html?symb=GPC
GGP Inc,21.2,-0.36,-1.67%,17.8,6.2M,-15.13%,GGP,http://money.cnn.com/quote/quote.html?symb=GGP
Gilead Sciences,72.4,-0.3,-0.41%,7.9,7.0M,+1.10%,GILD,http://money.cnn.com/quote/quote.html?symb=GILD
Global Payments Inc,93.31,-0.33,-0.35%,56.9,930.3K,+34.43%,GPN,http://money.cnn.com/quote/quote.html?symb=GPN
